customer_segment,uk_region,support_channel,product_area,issue_category,priority_initial,day_of_week,hour_of_day,customer_tenure_months,contract_value_gbp,previous_tickets_90d,avg_sentiment_score,message_length,contains_urgent_keyword,contains_refund_keyword,agent_queue_length_at_submit,assigned_agent,agent_experience_months,backlog_age_hours,first_response_minutes,reopened_last_90d,submitted_hour,submitted_dayofweek_num,submitted_month,is_weekend,contract_value_log1p,queue_pressure,negative_sentiment_flag,high_backlog_flag,message_word_count,message_has_deadline,sla_breached,resolution_hours
Mid-Market,Greater Manchester,email,Account Access,data_quality,Critical,Sunday,1,53.0,57740.16,5,0.654,108,0,0,37.0,Ava,3,5.74,175,0,1.0,6.0,1.0,1,10.963725543074009,9.25,0,0,17,0,1,21.48
Mid-Market,East Midlands,chat,Data Export,refund_request,Critical,Sunday,8,20.0,23282.95,15,-0.695,88,0,0,8.0,Isla,3,9.1,21,0,8.0,6.0,1.0,1,10.055519560991966,2.0,1,0,14,0,1,32.77
Mid-Market,Scotland,email,Data Export,how_to,Low,Friday,14,2.0,8075.65,2,1.0,104,0,0,16.0,Harry,18,4.66,45,0,14.0,4.0,9.0,0,8.99673246158276,0.8421052631578947,0,0,16,0,0,0.3
SMB,Scotland,web,Payments,data_quality,Low,Thursday,19,21.0,12479.0,0,0.191,89,0,0,33.0,Amelia,9,0.12,1,0,19.0,3.0,9.0,0,9.43188264192342,3.3,0,0,14,1,0,15.43
SMB,Greater Manchester,web,Payments,service_outage,High,Saturday,2,37.0,6538.35,0,0.204,99,1,0,32.0,Grace,31,3.62,188,0,2.0,5.0,11.0,1,8.785593051132688,1.0,0,0,14,0,1,32.09
Mid-Market,South West,email,Workflow Automation,access_request,Critical,Thursday,12,23.0,26570.91,0,-0.029,110,0,0,39.0,George,11,21.2,18,0,12.0,3.0,10.0,0,10.187609921755461,3.25,0,1,16,0,1,30.27
SMB,South East,partner portal,Billing,billing_query,High,Monday,4,25.0,18996.21,7,-0.253,102,0,0,41.0,Muhammad,7,6.16,78,0,4.0,0.0,2.0,0,9.852047405260956,5.125,0,0,16,0,1,25.75
Enterprise,South East,web,Data Export,bug,Critical,Tuesday,20,27.0,49341.18,6,1.0,77,0,0,22.0,Leo,17,2.96,125,0,20.0,1.0,10.0,0,10.806534572325782,1.2222222222222223,0,0,13,0,1,33.0
SMB,Yorkshire,phone,Security,integration_failure,Critical,Wednesday,7,4.0,640.24,2,-0.55,103,1,0,39.0,Mia,15,1.72,227,0,7.0,2.0,1.0,0,6.463403801821473,2.4375,1,0,14,1,1,18.44
Public Sector,Greater Manchester,email,Data Export,integration_failure,Critical,Saturday,12,22.0,34314.76,3,0.307,113,1,0,17.0,Muhammad,27,0.79,113,0,12.0,5.0,1.0,1,10.443360002846275,0.6071428571428571,0,0,14,1,1,33.03
Public Sector,Greater Manchester,web,Mobile App,integration_failure,Critical,Thursday,9,18.0,172238.53,7,0.549,120,1,0,47.0,Isla,17,6.79,228,0,9.0,3.0,9.0,0,12.05664140328394,2.611111111111111,0,0,18,1,1,47.04
Mid-Market,West Midlands,chat,Api Integration,data_quality,High,Thursday,6,10.0,15997.47,1,0.65,90,0,0,47.0,Mia,34,7.71,289,0,6.0,3.0,11.0,0,9.680248371649556,1.3428571428571427,0,0,14,0,1,32.52
Enterprise,London,web,Api Integration,access_request,Critical,Friday,13,63.0,57038.39,5,-0.155,111,0,0,25.0,Muhammad,48,3.86,31,0,13.0,4.0,2.0,0,10.951497360781344,0.5102040816326531,0,0,17,0,1,22.52
SMB,South West,web,Mobile App,performance,High,Friday,3,27.0,1935.95,2,0.506,88,0,0,55.0,Leo,20,11.03,164,0,3.0,4.0,2.0,0,7.5688698499607705,2.619047619047619,0,0,13,0,1,30.46
Mid-Market,Northern Ireland,phone,Security,service_outage,Critical,Sunday,3,49.0,18953.99,1,-0.306,91,1,0,57.0,Harry,28,3.47,96,0,3.0,6.0,10.0,1,9.84982250038501,1.9655172413793103,0,0,14,1,1,30.63
SMB,Wales,web,Account Access,data_quality,High,Wednesday,23,12.0,17935.71,2,0.391,98,0,0,22.0,Leo,21,12.21,130,0,23.0,2.0,2.0,0,9.79460472972026,1.0,0,0,16,0,1,26.66
Mid-Market,South West,email,Mobile App,how_to,High,Friday,3,43.0,17563.34,2,-0.312,98,0,0,33.0,Amelia,32,19.38,113,0,3.0,4.0,10.0,0,9.77362598927152,1.0,0,1,17,0,0,21.15
Public Sector,East Midlands,chat,Billing,bug,Critical,Sunday,3,14.0,88909.98,0,0.07,77,0,0,29.0,George,10,5.52,140,0,3.0,6.0,10.0,1,11.395390923436622,2.6363636363636362,0,0,12,0,1,37.5
Mid-Market,Yorkshire,web,Account Access,data_quality,High,Sunday,12,27.0,10475.8,1,1.0,104,0,0,24.0,Isla,40,16.81,229,0,12.0,6.0,10.0,1,9.256918567736761,0.5853658536585366,0,1,17,0,1,32.25
Mid-Market,Northern Ireland,web,Account Access,bug,High,Friday,7,7.0,17304.56,3,-0.89,80,0,0,20.0,Mia,32,0.44,37,0,7.0,4.0,12.0,0,9.758783116135277,0.6060606060606061,1,0,13,0,0,11.27
Public Sector,London,phone,Account Access,performance,Critical,Sunday,10,36.0,58730.07,0,0.575,88,0,0,49.0,Mia,29,0.32,206,0,10.0,6.0,1.0,1,10.980724167318762,1.6333333333333333,0,0,13,0,1,36.73
Enterprise,Northern Ireland,chat,Workflow Automation,access_request,High,Thursday,6,47.0,24798.87,1,0.845,106,0,0,38.0,Amelia,24,9.08,76,0,6.0,3.0,1.0,0,10.11859369020385,1.52,0,0,14,1,0,13.0
Enterprise,East Midlands,email,Security,performance,Critical,Monday,23,20.0,71199.66,0,0.44,99,0,0,26.0,Isla,8,7.04,167,0,23.0,0.0,12.0,0,11.173257367020025,2.888888888888889,0,0,14,1,1,29.21
Mid-Market,Scotland,web,Mobile App,integration_failure,Critical,Tuesday,21,39.0,8989.67,2,0.08,102,1,0,27.0,Mia,38,2.67,42,0,21.0,1.0,12.0,0,9.103942651941152,0.6923076923076923,0,0,15,1,1,31.89
Public Sector,Yorkshire,web,Api Integration,integration_failure,Critical,Tuesday,11,42.0,23895.37,2,0.234,111,1,0,27.0,Noah,27,11.99,167,0,11.0,1.0,2.0,0,10.081481843539047,0.9642857142857143,0,0,15,0,1,33.6
Public Sector,Scotland,web,Mobile App,how_to,Critical,Thursday,8,21.0,42937.52,1,0.38,88,0,0,20.0,George,23,38.73,64,0,8.0,3.0,11.0,0,10.667524604141065,0.8333333333333334,0,1,14,1,1,42.82
SMB,Yorkshire,phone,Billing,performance,Low,Friday,21,12.0,3567.17,0,0.131,105,0,0,0.0,Leo,9,7.66,13,0,21.0,4.0,1.0,0,8.179808138304788,0.0,0,0,14,0,0,31.68
Mid-Market,Greater Manchester,chat,Payments,bug,Low,Wednesday,22,37.0,8676.36,0,0.777,78,0,0,33.0,Grace,15,6.27,100,0,22.0,2.0,1.0,0,9.068472613926737,2.0625,0,0,12,0,0,18.72
Enterprise,West Midlands,web,Reporting,how_to,Medium,Sunday,10,15.0,21354.82,0,0.293,82,0,0,20.0,Muhammad,24,7.32,24,0,10.0,6.0,1.0,1,9.969079581039885,0.8,0,0,13,0,0,11.79
SMB,East Midlands,chat,Account Access,how_to,High,Monday,2,13.0,1660.16,1,0.223,102,0,0,37.0,Leo,1,22.34,160,0,2.0,0.0,1.0,0,7.415271432487644,18.5,0,1,17,0,1,33.16
SMB,South East,email,Payments,access_request,Medium,Thursday,13,28.0,4533.76,7,-0.12,99,0,0,17.0,Grace,1,5.48,1,0,13.0,3.0,12.0,0,8.419527439428878,8.5,0,0,14,1,0,13.69
SMB,London,web,Workflow Automation,access_request,Low,Monday,6,27.0,11542.2,1,0.448,111,0,0,24.0,Grace,24,3.51,270,0,6.0,0.0,11.0,0,9.353851797983046,0.96,0,0,16,0,0,22.77
SMB,Yorkshire,partner portal,Api Integration,how_to,Critical,Tuesday,15,44.0,5035.63,2,-0.401,86,0,0,60.0,Harry,8,42.55,252,0,15.0,1.0,10.0,0,8.524492486625121,6.666666666666667,1,1,13,1,1,36.6
Mid-Market,Yorkshire,web,Mobile App,service_outage,Critical,Sunday,13,7.0,11887.84,2,0.317,104,1,0,40.0,Isla,27,31.34,189,1,13.0,6.0,1.0,1,9.383355423949837,1.4285714285714286,0,1,14,1,1,28.65
Mid-Market,South West,chat,Api Integration,billing_query,Medium,Monday,22,30.0,5781.1,0,-0.084,105,0,0,44.0,Amelia,27,4.06,180,0,22.0,0.0,2.0,0,8.662522217480348,1.5714285714285714,0,0,14,1,0,31.47
Enterprise,London,phone,Billing,performance,Critical,Sunday,21,42.0,2031470.48,0,-0.009,81,0,0,39.0,Harry,23,0.77,246,0,21.0,6.0,2.0,1,14.524270955423852,1.625,0,0,12,0,1,21.5
Public Sector,South East,chat,Security,performance,Critical,Wednesday,13,23.0,22948.4,4,0.027,108,1,0,13.0,Isla,4,6.82,113,0,13.0,2.0,1.0,0,10.041047071356086,2.6,0,0,14,1,1,26.29
SMB,South West,web,Api Integration,bug,High,Wednesday,5,13.0,5397.41,1,-0.056,81,0,0,37.0,Leo,25,16.56,81,0,5.0,2.0,1.0,0,8.593859744750645,1.4230769230769231,0,1,13,0,1,25.89
Mid-Market,Scotland,chat,Reporting,bug,High,Monday,4,21.0,22280.77,2,-1.0,88,0,0,30.0,Harry,40,1.9,63,0,4.0,0.0,11.0,0,10.011524134332795,0.7317073170731707,1,0,14,1,0,18.82
Mid-Market,Northern Ireland,phone,Workflow Automation,bug,High,Saturday,12,0.0,9559.42,0,0.709,114,1,0,39.0,Ava,16,8.67,174,0,12.0,5.0,10.0,1,9.165386938134812,2.2941176470588234,0,0,17,1,1,31.31
Mid-Market,East Midlands,web,Billing,bug,High,Monday,17,49.0,11555.92,7,0.029,85,0,0,37.0,Oliver,1,5.0,143,1,17.0,0.0,10.0,0,9.355039670739837,18.5,0,0,13,0,1,24.5
SMB,South West,phone,Account Access,service_outage,Critical,Sunday,9,61.0,6994.0,10,-0.236,101,1,0,55.0,Harry,52,8.7,222,0,9.0,6.0,9.0,1,8.852950887099581,1.0377358490566038,0,0,15,1,1,42.83
Mid-Market,Wales,chat,Api Integration,performance,High,Sunday,19,52.0,7811.24,2,-0.285,113,1,0,7.0,Grace,7,1.25,199,0,19.0,6.0,12.0,1,8.963447013490866,0.875,0,0,16,0,0,19.46
SMB,Greater Manchester,web,Billing,access_request,High,Wednesday,20,36.0,8535.87,1,-0.747,99,0,0,34.0,Muhammad,26,11.95,111,0,20.0,2.0,12.0,0,9.05214970906257,1.2592592592592593,1,0,16,0,0,9.9
SMB,South West,web,Mobile App,how_to,Medium,Saturday,7,35.0,20043.87,1,-0.469,89,0,0,16.0,Harry,1,6.61,67,0,7.0,5.0,1.0,1,9.905728539647745,8.0,1,0,14,1,0,9.24
SMB,East Midlands,email,Account Access,billing_query,High,Saturday,4,16.0,14481.95,2,0.483,90,0,0,51.0,Harry,4,13.14,125,1,4.0,5.0,12.0,1,9.580727374471483,10.2,0,0,14,0,0,15.67
SMB,East Midlands,email,Mobile App,performance,Medium,Sunday,22,0.0,18631.71,5,0.606,97,0,0,16.0,Grace,13,3.1,76,0,22.0,6.0,12.0,1,9.832673917321612,1.1428571428571428,0,0,14,1,0,19.51
SMB,Wales,web,Api Integration,performance,Critical,Monday,0,37.0,44025.28,0,0.314,89,0,0,30.0,Amelia,31,15.73,139,0,0.0,0.0,2.0,0,10.692542007331307,0.9375,0,1,13,0,1,20.54
Enterprise,Yorkshire,email,Workflow Automation,billing_query,Critical,Saturday,9,37.0,65458.76,0,0.35,129,0,1,34.0,Ava,7,5.78,248,0,9.0,5.0,11.0,1,11.089190881687314,4.25,0,0,17,0,1,24.23
Mid-Market,South West,email,Api Integration,bug,High,Thursday,22,42.0,15423.59,5,0.892,84,0,0,25.0,Harry,14,6.76,121,0,22.0,3.0,10.0,0,9.643718268193425,1.6666666666666667,0,0,12,1,1,26.85
SMB,Greater Manchester,web,Account Access,bug,Medium,Thursday,5,12.0,5598.65,1,0.033,80,0,0,21.0,Oliver,28,6.26,126,0,5.0,3.0,2.0,0,8.630459374770034,0.7241379310344828,0,0,13,0,0,8.72
SMB,West Midlands,email,Billing,how_to,Low,Friday,0,31.0,17761.0,1,0.531,95,0,0,0.0,Noah,11,10.39,134,1,0.0,4.0,9.0,0,9.784816622818449,0.0,0,0,16,0,0,0.3
Mid-Market,South West,chat,Billing,service_outage,Critical,Monday,5,46.0,25294.61,6,0.652,113,1,0,41.0,Harry,13,9.65,215,1,5.0,0.0,1.0,0,10.138386141873097,2.9285714285714284,0,0,17,1,1,44.5
Mid-Market,East Midlands,web,Account Access,refund_request,High,Sunday,17,24.0,9998.55,3,0.309,95,0,0,19.0,Noah,3,14.86,64,0,17.0,6.0,11.0,1,9.210295370963653,4.75,0,1,14,0,1,25.35
Enterprise,South West,email,Account Access,how_to,High,Thursday,12,27.0,35736.98,0,-0.41,88,0,0,44.0,Sophie,27,1.66,100,1,12.0,3.0,2.0,0,10.483969267810043,1.5714285714285714,1,0,14,1,0,16.41
SMB,East Midlands,chat,Mobile App,access_request,Medium,Wednesday,5,36.0,1615.68,2,-0.02,97,0,0,55.0,Isla,30,2.62,232,0,5.0,2.0,1.0,0,7.38812994265209,1.7741935483870968,0,0,14,1,0,15.78
Mid-Market,Greater Manchester,phone,Billing,how_to,Medium,Saturday,12,4.0,26660.24,1,-1.0,76,0,0,0.0,Leo,1,0.25,164,0,12.0,5.0,9.0,1,10.190966104278974,0.0,1,0,13,0,0,18.16
SMB,Yorkshire,web,Workflow Automation,data_quality,High,Monday,0,23.0,3238.18,5,-0.806,94,0,0,26.0,Isla,26,0.59,116,0,0.0,0.0,12.0,0,8.08307549033485,0.9629629629629629,1,0,14,0,0,12.45
SMB,South East,web,Workflow Automation,bug,High,Monday,18,36.0,13038.85,9,-0.54,94,0,0,24.0,George,1,1.1,138,0,18.0,0.0,10.0,0,9.475765332346999,12.0,1,0,15,0,0,21.89
Mid-Market,East Midlands,web,Workflow Automation,integration_failure,High,Tuesday,22,15.0,7734.14,1,-0.063,121,1,0,33.0,Harry,20,0.12,263,0,22.0,1.0,12.0,0,8.953528862390883,1.5714285714285714,0,0,17,1,0,19.71
SMB,South West,email,Mobile App,data_quality,High,Friday,5,45.0,13891.11,1,-0.37,85,0,0,6.0,Grace,30,16.01,37,0,5.0,4.0,12.0,0,9.539076332058933,0.1935483870967742,1,1,14,0,0,23.26
Mid-Market,Northern Ireland,web,Mobile App,integration_failure,High,Sunday,1,34.0,4363.8,2,-0.717,109,1,0,14.0,Leo,1,0.33,117,0,1.0,6.0,11.0,1,8.381327648209089,7.0,1,0,14,1,0,18.19
Mid-Market,Scotland,web,Account Access,billing_query,High,Thursday,0,20.0,12509.96,1,0.55,108,1,0,11.0,Ava,2,6.55,174,0,0.0,3.0,12.0,0,9.434360339125814,3.6666666666666665,0,0,15,1,0,19.53
Enterprise,Yorkshire,phone,Security,bug,Critical,Wednesday,4,37.0,104371.08,4,-0.79,93,0,0,16.0,Ava,8,34.85,104,0,4.0,2.0,2.0,0,11.555717485713915,1.7777777777777777,1,1,15,0,1,28.06
SMB,South East,email,Workflow Automation,how_to,Low,Tuesday,20,21.0,5518.78,1,0.16,89,0,0,34.0,Mia,1,2.03,53,0,20.0,1.0,12.0,0,8.616093283404442,17.0,0,0,14,1,0,11.58
Enterprise,Wales,email,Mobile App,service_outage,Critical,Tuesday,20,3.0,33165.6,0,-0.35,93,1,0,56.0,Oliver,42,0.49,66,0,20.0,1.0,1.0,0,10.409298624426302,1.302325581395349,0,0,15,1,1,34.02
SMB,Scotland,web,Mobile App,billing_query,High,Saturday,6,23.0,9275.03,3,0.074,94,1,0,34.0,Ava,25,2.39,166,0,6.0,5.0,1.0,1,9.135188932522844,1.3076923076923077,0,0,15,1,0,12.64
Enterprise,South West,chat,Account Access,how_to,Critical,Thursday,18,20.0,43062.45,4,0.55,96,1,0,10.0,George,11,1.22,1,0,18.0,3.0,9.0,0,10.670429888470585,0.8333333333333334,0,0,15,1,1,16.43
Enterprise,Wales,email,Payments,service_outage,Critical,Thursday,6,24.0,30486.74,3,-0.084,110,1,0,33.0,Muhammad,20,3.04,81,0,6.0,3.0,1.0,0,10.325079914571912,1.5714285714285714,0,0,17,1,1,41.55
Enterprise,Wales,email,Billing,data_quality,Critical,Tuesday,21,11.0,46204.43,1,-0.009,86,0,0,53.0,Oliver,14,3.63,151,0,21.0,1.0,9.0,0,10.740852602630964,3.533333333333333,0,0,13,0,1,26.43
Mid-Market,East Midlands,email,Security,performance,High,Tuesday,5,33.0,24075.0,0,1.0,101,0,0,44.0,Sophie,16,12.64,238,0,5.0,1.0,1.0,0,10.088970772667661,2.588235294117647,0,0,15,0,1,32.81
Public Sector,West Midlands,web,Workflow Automation,data_quality,Critical,Sunday,21,16.0,54967.8,3,-0.172,104,1,0,50.0,Noah,6,4.88,164,0,21.0,6.0,11.0,1,10.914521030527286,7.142857142857143,0,0,15,0,1,29.67
SMB,East Midlands,web,Billing,access_request,Medium,Sunday,3,39.0,9278.84,1,-0.7,94,0,0,26.0,Harry,14,3.8,229,0,3.0,6.0,2.0,1,9.1355995842523,1.7333333333333334,1,0,13,1,0,21.83
Enterprise,Yorkshire,chat,Workflow Automation,access_request,Critical,Monday,16,38.0,68562.42,3,0.714,111,0,0,46.0,Grace,13,5.87,196,0,16.0,0.0,10.0,0,11.135514435341415,3.2857142857142856,0,0,16,0,1,26.23
SMB,East Midlands,web,Mobile App,access_request,Medium,Wednesday,18,44.0,4458.69,1,-0.29,106,0,0,58.0,Grace,24,0.43,186,0,18.0,2.0,11.0,0,8.402834535871948,2.32,0,0,17,0,0,23.08
Mid-Market,South West,partner portal,Mobile App,access_request,High,Friday,23,24.0,17361.01,2,0.022,91,0,0,25.0,Ava,15,11.19,62,0,23.0,4.0,11.0,0,9.762039764922097,1.5625,0,0,14,1,0,10.17
Mid-Market,Northern Ireland,web,Billing,bug,Critical,Wednesday,9,6.0,26706.48,1,-0.153,92,0,0,56.0,Leo,41,2.0,276,0,9.0,2.0,2.0,0,10.192698954966444,1.3333333333333333,0,0,15,0,1,17.01
Mid-Market,South West,email,Account Access,billing_query,Medium,Monday,7,13.0,14172.62,0,0.254,135,0,1,14.0,Muhammad,54,6.45,23,0,7.0,0.0,12.0,0,9.559137769359342,0.2545454545454545,0,0,20,0,0,15.71
SMB,London,chat,Workflow Automation,access_request,High,Friday,19,46.0,17104.94,0,-0.553,106,0,0,30.0,Mia,15,22.15,131,0,19.0,4.0,1.0,0,9.747181050593362,1.875,1,1,14,1,0,18.77
SMB,Wales,phone,Payments,refund_request,High,Friday,14,48.0,7734.73,1,-0.579,104,0,0,60.0,Grace,33,0.41,177,0,14.0,4.0,2.0,0,8.953605134766034,1.7647058823529411,1,0,16,0,1,38.75
Mid-Market,East Midlands,phone,Payments,billing_query,Critical,Monday,16,26.0,882236.66,7,0.092,84,0,0,59.0,George,11,9.57,274,0,16.0,0.0,11.0,0,13.690216754474552,4.916666666666667,0,0,13,0,1,26.01
Enterprise,London,chat,Billing,billing_query,Critical,Friday,9,25.0,32749.92,3,0.429,83,0,0,77.0,Grace,18,6.56,191,0,9.0,4.0,1.0,0,10.396686332271889,4.052631578947368,0,0,13,0,1,29.03
SMB,Greater Manchester,email,Billing,bug,Medium,Tuesday,2,19.0,19005.5,3,0.34,77,0,0,26.0,Oliver,12,1.17,118,0,2.0,1.0,12.0,0,9.852536304907073,2.0,0,0,13,0,0,16.71
Enterprise,Northern Ireland,chat,Billing,how_to,Critical,Monday,15,52.0,52873.45,6,-0.18,102,0,0,19.0,Grace,34,8.47,1,0,15.0,0.0,1.0,0,10.875675514403227,0.5428571428571428,0,0,17,0,1,31.45
SMB,South East,chat,Billing,how_to,Medium,Tuesday,10,7.0,3638.45,1,-0.091,80,0,0,34.0,Sophie,12,9.29,77,0,10.0,1.0,12.0,0,8.1995878503131,2.6153846153846154,0,0,13,0,0,19.11
Enterprise,South East,email,Mobile App,bug,Critical,Wednesday,4,16.0,114664.22,0,-0.042,86,0,0,55.0,Mia,8,8.84,209,0,4.0,2.0,9.0,0,11.64977203132877,6.111111111111111,0,0,14,1,1,23.39
Mid-Market,Yorkshire,email,Security,integration_failure,Critical,Sunday,1,26.0,8015.17,1,-0.485,103,1,0,41.0,Sophie,18,13.2,229,0,1.0,6.0,11.0,1,8.989216030684599,2.1578947368421053,1,0,14,1,1,42.12
SMB,South East,web,Reporting,how_to,Medium,Saturday,22,59.0,8913.24,1,-0.754,91,0,0,21.0,Oliver,15,10.38,98,0,22.0,5.0,1.0,1,9.095405277083929,1.3125,1,0,14,1,0,26.49
Enterprise,Scotland,phone,Workflow Automation,performance,Critical,Thursday,12,12.0,453071.27,5,-0.464,112,0,0,40.0,Leo,1,1.62,79,0,12.0,3.0,11.0,0,13.023806928164431,20.0,1,0,16,0,1,30.52
SMB,London,web,Security,how_to,Medium,Thursday,10,26.0,4476.42,1,0.353,90,0,0,38.0,Oliver,21,16.15,210,1,10.0,3.0,1.0,0,8.406802266661904,1.7272727272727273,0,1,15,1,0,17.73
Mid-Market,Scotland,email,Api Integration,access_request,Medium,Tuesday,13,17.0,9868.39,1,0.517,96,0,0,39.0,Ava,16,4.47,197,0,13.0,1.0,11.0,0,9.197193327072833,2.2941176470588234,0,0,14,0,0,25.6
Mid-Market,East Midlands,email,Reporting,integration_failure,Critical,Friday,4,0.0,28647.64,6,-0.277,103,1,0,40.0,Amelia,3,0.35,228,0,4.0,4.0,10.0,0,10.262861251557187,10.0,0,0,14,1,1,21.28
Public Sector,West Midlands,email,Api Integration,integration_failure,Low,Thursday,20,29.0,28927.91,1,-0.127,106,1,0,32.0,Grace,28,13.22,1,0,20.0,3.0,12.0,0,10.272596720108634,1.103448275862069,0,0,14,1,0,32.64
Mid-Market,London,web,Api Integration,integration_failure,Critical,Saturday,8,65.0,2676.25,0,0.146,125,1,0,49.0,Leo,7,29.66,283,0,8.0,5.0,9.0,1,7.892545427280984,6.125,0,1,18,1,1,43.22
SMB,Wales,web,Reporting,performance,Medium,Wednesday,21,27.0,5649.34,1,-0.288,102,0,0,16.0,Mia,20,0.56,162,0,21.0,2.0,10.0,0,8.639470999321075,0.7619047619047619,0,0,15,0,0,8.75
Mid-Market,South West,email,Api Integration,how_to,Critical,Friday,10,47.0,5789.87,1,0.403,93,0,0,27.0,Oliver,12,1.12,103,0,10.0,4.0,9.0,0,8.664037818346635,2.076923076923077,0,0,16,0,1,18.17
SMB,West Midlands,partner portal,Payments,billing_query,High,Tuesday,19,22.0,21763.63,0,-0.711,88,0,0,13.0,Sophie,23,7.17,1,0,19.0,1.0,9.0,0,9.988041454071627,0.5416666666666666,1,0,13,0,0,14.94
SMB,Wales,email,Mobile App,service_outage,Critical,Monday,7,32.0,2297.34,2,0.349,116,1,0,41.0,Harry,42,6.77,271,0,7.0,0.0,10.0,0,7.739942402207732,0.9534883720930233,0,0,18,1,1,38.55
Enterprise,East Midlands,phone,Api Integration,integration_failure,Critical,Tuesday,20,27.0,140789.17,0,0.011,122,1,0,8.0,Grace,6,0.4,67,0,20.0,1.0,10.0,0,11.855025904927965,1.1428571428571428,0,0,18,1,1,12.74
Enterprise,East Midlands,web,Reporting,bug,Critical,Wednesday,11,26.0,94833.37,0,0.204,75,0,0,47.0,Leo,23,1.69,182,0,11.0,2.0,12.0,0,11.459887175279365,1.9583333333333333,0,0,12,0,0,5.97
SMB,Yorkshire,web,Payments,bug,Critical,Sunday,7,40.0,40260.28,1,-0.119,93,0,0,50.0,Isla,20,5.31,147,0,7.0,6.0,9.0,1,10.603145492031654,2.380952380952381,0,0,15,0,1,23.82
SMB,London,phone,Reporting,access_request,Critical,Friday,3,2.0,3341.3,2,1.0,95,0,0,29.0,Grace,29,19.23,124,0,3.0,4.0,2.0,0,8.114414471733381,0.9666666666666667,0,1,13,1,0,12.1
Public Sector,London,email,Reporting,access_request,High,Wednesday,17,56.0,17702.93,5,-0.834,86,0,0,37.0,Noah,31,0.2,165,0,17.0,2.0,2.0,0,9.781541927814347,1.15625,1,0,13,0,1,24.06
SMB,South East,web,Data Export,how_to,Medium,Tuesday,2,7.0,5061.79,7,-0.009,87,0,0,37.0,Grace,1,1.17,195,0,2.0,1.0,2.0,0,8.529672993724748,18.5,0,0,13,1,0,13.66
SMB,London,phone,Payments,how_to,Low,Sunday,12,43.0,3858.25,1,0.227,96,0,0,14.0,Isla,15,0.51,91,0,12.0,6.0,9.0,1,8.25822814306195,0.875,0,0,16,0,0,10.86
SMB,Northern Ireland,email,Payments,integration_failure,High,Thursday,17,0.0,3165.67,2,0.29,115,1,0,37.0,Ava,20,0.52,168,0,17.0,3.0,2.0,0,8.060435841551547,1.7619047619047619,0,0,17,1,1,25.49
Enterprise,South West,phone,Reporting,billing_query,Critical,Monday,19,42.0,320561.52,0,-0.474,115,0,1,52.0,Oliver,4,0.46,175,0,19.0,0.0,1.0,0,12.677832606521951,10.4,1,0,16,0,1,19.32
Mid-Market,South East,phone,Account Access,bug,Medium,Friday,2,38.0,5416.55,8,0.123,95,0,0,0.0,Leo,23,0.33,27,0,2.0,4.0,11.0,0,8.597398962717255,0.0,0,0,16,0,0,36.21
Enterprise,East Midlands,email,Data Export,how_to,Critical,Thursday,0,16.0,69382.66,0,0.046,84,0,0,26.0,Leo,1,7.89,130,0,0.0,3.0,1.0,0,11.147406672087094,13.0,0,0,14,0,1,7.27
SMB,South East,web,Security,service_outage,Critical,Tuesday,10,17.0,28166.09,0,-0.043,91,1,0,46.0,George,21,0.47,218,0,10.0,1.0,12.0,0,10.24590955415001,2.090909090909091,0,0,14,1,1,28.97
SMB,Yorkshire,email,Account Access,how_to,Low,Thursday,5,9.0,1264.02,1,0.676,102,0,0,23.0,Oliver,13,7.99,157,0,5.0,3.0,11.0,0,7.142843211313319,1.6428571428571428,0,0,17,0,0,18.2
SMB,West Midlands,chat,Payments,how_to,High,Friday,0,13.0,14529.34,0,-0.541,81,0,0,30.0,Isla,20,13.27,272,0,0.0,4.0,10.0,0,9.58399415615291,1.4285714285714286,1,0,13,0,0,12.63
SMB,Yorkshire,email,Workflow Automation,access_request,Critical,Friday,11,6.0,30155.42,3,-1.0,125,1,0,54.0,Oliver,10,10.67,191,0,11.0,4.0,12.0,0,10.314153114811207,4.909090909090909,1,0,18,1,1,23.39
SMB,Northern Ireland,chat,Account Access,bug,High,Tuesday,23,23.0,23977.1,7,0.308,80,0,0,17.0,Muhammad,10,15.73,118,1,23.0,1.0,9.0,0,10.084896192748518,1.5454545454545454,0,1,13,0,1,24.38
Enterprise,South West,email,Security,how_to,Critical,Monday,2,39.0,83466.4,5,0.442,81,0,0,35.0,George,17,6.92,100,0,2.0,0.0,10.0,0,11.332211415443867,1.9444444444444444,0,0,13,0,1,17.08
SMB,South West,web,Security,how_to,Low,Thursday,18,9.0,12716.63,0,0.284,88,0,0,26.0,Amelia,14,2.64,129,0,18.0,3.0,11.0,0,9.450744498779528,1.7333333333333334,0,0,14,1,0,16.77
SMB,Northern Ireland,web,Billing,performance,Medium,Saturday,3,30.0,7113.75,1,0.207,90,0,0,10.0,George,1,16.73,76,0,3.0,5.0,1.0,1,8.8699253728722,5.0,0,1,14,0,0,34.35
SMB,South West,web,Account Access,access_request,High,Saturday,16,0.0,17855.27,4,0.142,103,0,0,40.0,Mia,27,10.92,39,0,16.0,5.0,10.0,1,9.790109986034459,1.4285714285714286,0,0,15,0,1,25.47
Enterprise,Scotland,web,Workflow Automation,service_outage,Critical,Wednesday,14,48.0,2101096.98,4,0.58,106,1,0,35.0,Grace,1,6.65,274,0,14.0,2.0,9.0,0,14.557970613675508,17.5,0,0,15,1,1,29.79
